suseptible,Infected,Recovered,dead
0.9999979591836735,2.040816326530612e-6,0.0,0.0
0.9999979591836735,2.040816326530612e-6,0.0,0.0
0.9999975510204081,2.4489795918367347e-6,0.0,0.0
0.9999975510204081,2.4489795918367347e-6,0.0,0.0
0.9999987755102041,1.2244897959183673e-6,0.0,0.0
0.9999975510204081,2.4489795918367347e-6,0.0,0.0
0.9999975510204081,2.4489795918367347e-6,0.0,0.0
0.9999979591836735,2.040816326530612e-6,0.0,0.0
0.9999975510204081,2.4489795918367347e-6,0.0,0.0
0.9999983673469388,1.6326530612244897e-6,0.0,0.0
0.9999983673469388,1.6326530612244897e-6,0.0,0.0
0.9999971428571428,1.6326530612244897e-6,1.2244897959183673e-6,0.0
0.9999983673469388,4.0816326530612243e-7,1.2244897959183673e-6,0.0
0.9999979591836735,8.163265306122449e-7,1.2244897959183673e-6,0.0
0.9999979591836735,8.163265306122449e-7,1.2244897959183673e-6,0.0
0.9999979591836735,8.163265306122449e-7,1.2244897959183673e-6,0.0
0.9999979591836735,8.163265306122449e-7,1.2244897959183673e-6,0.0
0.9999979591836735,8.163265306122449e-7,1.2244897959183673e-6,0.0
0.9999991836734693,8.163265306122449e-7,0.0,0.0
0.9999991836734693,8.163265306122449e-7,0.0,0.0
0.9999995918367347,4.0816326530612243e-7,0.0,0.0
0.9999995918367347,4.0816326530612243e-7,0.0,0.0
1.0,0.0,0.0,0.0
0.9999983673469388,8.163265306122449e-7,8.163265306122449e-7,0.0
0.9999983673469388,8.163265306122449e-7,8.163265306122449e-7,0.0
0.9999983673469388,8.163265306122449e-7,8.163265306122449e-7,0.0
0.9999983673469388,8.163265306122449e-7,8.163265306122449e-7,0.0
0.9999979591836735,8.163265306122449e-7,1.2244897959183673e-6,0.0
0.9999979591836735,8.163265306122449e-7,1.2244897959183673e-6,0.0
0.9999975510204081,1.2244897959183673e-6,1.2244897959183673e-6,0.0
0.9999987755102041,4.0816326530612243e-7,8.163265306122449e-7,0.0
0.9999951020408164,3.6734693877551024e-6,8.163265306122449e-7,4.0816326530612243e-7
0.9999922448979592,6.530612244897959e-6,8.163265306122449e-7,4.0816326530612243e-7
0.9999808163265307,1.5918367346938776e-5,8.163265306122449e-7,2.4489795918367347e-6
0.9999730612244898,2.3673469387755103e-5,4.0816326530612243e-7,2.8571428571428573e-6
0.9999579591836736,3.7142857142857143e-5,4.0816326530612243e-7,4.489795918367347e-6
0.999926530612245,6.816326530612245e-5,4.0816326530612243e-7,4.897959183673469e-6
0.9999044897959184,8.979591836734694e-5,0.0,5.7142857142857145e-6
0.9998391836734694,0.00015428571428571428,0.0,6.530612244897959e-6
0.9997930612244897,0.00019877551020408164,0.0,8.163265306122448e-6
0.999773469387755,0.00022,0.0,6.530612244897959e-6
0.9997020408163264,0.0002889795918367347,4.0816326530612243e-7,8.571428571428571e-6
0.9995661224489796,0.0004244897959183674,4.0816326530612243e-7,8.979591836734694e-6
0.9994130612244898,0.0005722448979591836,2.040816326530612e-6,1.2653061224489797e-5
0.9991738775510205,0.0008089795918367347,2.040816326530612e-6,1.510204081632653e-5
0.9989302040816326,0.0010510204081632653,2.040816326530612e-6,1.673469387755102e-5
0.9988787755102041,0.0010991836734693878,2.040816326530612e-6,2.0e-5
0.9982979591836736,0.0016673469387755101,4.081632653061224e-6,3.061224489795918e-5
0.9976142857142857,0.0023387755102040816,3.6734693877551024e-6,4.326530612244898e-5
0.9966204081632652,0.0032742857142857144,3.959183673469388e-5,6.571428571428571e-5
0.9949351020408164,0.00492938775510204,4.448979591836735e-5,9.10204081632653e-5
0.9925440816326531,0.007269795918367347,5.510204081632653e-5,0.0001310204081632653
0.9903559183673469,0.009406938775510205,6.693877551020408e-5,0.00017020408163265306
0.9867628571428572,0.012951836734693876,6.775510204081633e-5,0.00021755102040816324
0.9827465306122449,0.016904897959183672,6.571428571428571e-5,0.00028285714285714286
0.9790073469387754,0.020490612244897958,0.00013510204081632654,0.00036693877551020404
0.9750612244897959,0.024355918367346942,0.00010448979591836734,0.0004783673469387755
0.9693567346938776,0.02979551020408163,0.00022857142857142857,0.0006191836734693878
0.9641314285714285,0.03478489795918367,0.0002946938775510204,0.0007889795918367348
0.9572118367346938,0.04138448979591837,0.00036571428571428573,0.0010379591836734694
0.9534461224489795,0.0443265306122449,0.0010151020408163266,0.0012122448979591837
0.9475273469387755,0.04881714285714286,0.0022310204081632656,0.0014244897959183674
0.9402583673469388,0.05525102040816326,0.0027248979591836735,0.0017657142857142856
0.9313991836734693,0.06313877551020408,0.0033114285714285715,0.002150612244897959
0.9250448979591837,0.06896204081632654,0.0033959183673469393,0.0025971428571428573
0.9189106122448979,0.07451836734693879,0.0036073469387755104,0.002963673469387755
0.9126404081632653,0.07848857142857144,0.005542857142857143,0.0033281632653061224
0.9063624489795918,0.08384163265306122,0.006033877551020407,0.0037620408163265306
0.9023808163265306,0.08774979591836735,0.005688571428571428,0.004180816326530612
0.8999387755102041,0.08925346938775511,0.006015918367346939,0.004791836734693878
0.8995930612244898,0.08910081632653061,0.0061571428571428576,0.005148979591836735
0.8973281632653062,0.09053877551020408,0.006697551020408164,0.005435510204081632
0.8950526530612245,0.09141020408163265,0.0077889795918367356,0.005748163265306122
0.8970722448979591,0.09017836734693878,0.0067828571428571426,0.005966530612244897
0.8985408163265305,0.08903918367346939,0.006342857142857143,0.006077142857142857
0.8969416326530611,0.08712571428571429,0.009755510204081634,0.006177142857142857
0.8968265306122449,0.08642530612244897,0.010612244897959184,0.006135918367346938
